GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
23,3,-24,16352,23408,30408,24058,11603,5
14,0,3,16352,23385,30530,24034,11653,5
-14,-13,8,16254,23203,30226,24034,11578,5
6,14,1,16189,23135,30377,24058,11665,5
10,-1,-18,16222,23271,30317,23964,11640,5
-12,3,0,16173,23135,30286,23987,11590,5
-6,-14,-10,16157,23248,30226,24011,11665,5
-5,13,-6,16222,23203,30135,23894,11565,5
-1,-8,-8,16189,23135,30195,23987,11665,5
-31,10,5,16222,23112,30105,23940,11603,5
-21,0,25,16125,23135,29984,23754,11678,5
-18,10,9,16125,22999,29895,23777,11653,5
-21,27,-5,16125,23112,29865,23777,11653,5
12,28,-30,16157,22955,30015,23824,11565,5
14,-2,-33,16093,22977,30045,23754,11653,5
-1,10,4,16093,23022,29775,23800,11615,5
-29,38,33,16141,22955,29627,23661,11565,5
26,0,10,16060,22977,29627,23615,11565,5
56,3,-17,16125,22843,29568,23638,11615,5
-6,31,43,16093,22709,29568,23546,11653,5
-16,41,53,16109,22798,29538,23592,11653,5
-12,5,9,16060,22776,29568,23684,11615,5
-18,9,6,16060,22665,29450,23661,11553,5
-27,32,13,16109,22665,29538,23847,11553,5
30,23,-23,16157,22754,29421,23777,11540,5
36,-20,-42,16141,22709,29627,23917,11565,5
20,-4,-28,16093,22665,29391,23754,11528,5
29,2,-2,16125,22754,29333,23824,11590,5
10,-18,-9,16109,22643,29391,23707,11653,5
-9,-14,11,16157,22709,29538,23592,11515,5
9,-12,-11,16076,22687,29421,23661,11603,5
-4,2,-48,16125,22665,29479,23754,11553,5
-13,-7,12,16141,22599,29274,23546,11553,5
-3,-4,0,16093,22599,29391,23569,11528,5
-27,6,8,16157,22621,29509,23592,11653,5
-6,1,11,16093,22599,29450,23615,11540,5
-5,1,1,16093,22843,29627,23661,11553,5
18,2,-17,16109,22798,29686,23615,11565,5
17,-15,-6,16173,22843,29538,23499,11528,5
21,-29,-5,16109,22754,29657,23522,11540,5
-11,-2,17,16173,22910,29686,23615,11565,5
-20,-4,23,16109,22843,29805,23569,11503,5
-60,-50,-10,16157,22776,29538,23477,11553,5
-27,17,-39,16093,22776,29657,23522,11354,5
20,25,-69,16206,22687,29509,23431,11072,5
35,43,-11,16109,22576,29391,23431,10879,5
63,-11,21,16173,22488,29216,23615,10855,5
57,6,-85,16698,22532,29100,23454,10771,5
71,-16,-60,16898,22466,29129,23431,10831,5
51,62,-108,17016,22401,29129,23454,10748,5
28,32,-55,17016,22466,29100,23522,10748,5
-50,-4,27,17050,22423,28869,23615,10783,5
-55,4,58,17118,22423,28869,23684,10748,5
-35,8,71,17152,22401,28955,23592,10819,5
-9,-16,32,17118,22270,28783,23592,10771,5
13,10,4,17186,22313,28869,23592,10819,5
21,-1,-24,17152,22140,28869,23592,10771,5
3,-16,23,17152,22183,28812,23431,10748,5
5,16,34,17152,22270,28840,23615,10771,5
28,-24,-27,17169,22140,28754,23499,10771,5
-11,22,4,17152,22248,28640,23408,10748,5
-10,-17,-2,17152,22053,28697,23454,10795,5
-12,7,20,17220,22140,28726,23431,10759,5
22,67,-30,17152,22205,28527,23316,10795,5
-23,-21,-33,17152,22183,28612,23477,10771,5
-1,-3,-30,17186,22140,28583,23431,10783,5
49,-28,7,17135,22096,28442,23477,10700,5
10,-20,5,17101,22053,28612,23522,10748,5
16,8,7,17033,22053,28583,23431,10783,5
-5,2,-4,17084,22075,28470,23477,10795,5
-9,-1,13,17016,22010,28640,23477,10783,5
6,14,-3,17016,22096,28583,23499,10759,5
14,-2,-12,17067,22140,28583,23339,10783,5
-2,-3,-1,17050,22140,28498,23499,10795,5
10,-3,4,17050,22140,28470,23477,10783,5
