GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-9,30,-7,28840,11317,11716,12530,20981,4
-2,16,-11,29100,11329,11678,12583,21084,4
-47,-47,22,29333,11280,11716,12517,21105,4
7,-19,8,29450,11268,11678,12543,21043,4
30,-77,-13,30165,11280,11665,12438,21229,4
-35,-22,-26,30165,11231,11578,12346,21250,4
24,20,-8,30317,11255,11453,12202,21333,4
-6,97,-52,30105,11243,11403,12112,21375,4
29,53,-61,30165,11157,11379,12073,21187,4
-9,28,3,30045,11145,11317,11970,21208,4
-10,75,1,30075,11109,11329,12009,21229,4
-51,218,-31,29805,11170,11255,11906,21208,4
-20,234,-38,29805,11170,11231,11906,21375,4
-20,150,8,29716,11145,11255,11817,21354,4
-114,117,28,29568,11133,11255,11792,21375,4
352,-44,-199,29597,11157,11268,11881,21542,4
445,-146,-318,30408,11170,11366,11881,22488,4
-101,93,36,30347,11157,11428,12009,22313,4
-131,7,25,29657,11121,11428,11957,22183,4
82,-14,48,29158,11109,11503,12099,22226,4
40,9,-13,27391,11157,11416,12034,22599,4
44,92,16,24848,11109,11428,12163,22865,4
24,24,25,24438,11157,11440,12112,22687,4
127,-31,-47,23777,11182,11403,12163,22510,4
-13,29,29,22731,11157,11391,12060,22576,4
-187,7,79,23112,11170,11416,12047,22488,4
-128,37,32,25818,11109,11465,12060,22554,4
-22,-7,-32,27472,11109,11440,11983,22488,4
81,-26,-13,27691,11072,11465,12073,22423,4
3,-26,73,27745,11109,11478,12060,22248,4
59,-88,21,28245,11157,11465,12034,22313,4
25,-25,-1,28612,11157,11416,12073,22335,4
19,22,-4,29013,11109,11428,12009,22248,4
-79,126,-37,28527,11157,11379,12009,22248,4
38,67,-14,28301,11121,11465,12073,22118,4
25,112,-121,28161,11072,11366,11983,22183,4
-241,-169,-96,28697,11133,11354,11628,21924,4
132,77,20,28470,11109,11243,11317,21416,4
131,143,-10,28470,11109,11219,11304,21064,4
-19,-59,-37,28161,11060,11096,11304,20838,4
-43,-52,76,28022,11133,11109,11304,20859,4
-4,-33,-8,28077,11109,11036,11219,20737,4
-32,66,27,27856,11121,11194,11231,20818,4
-26,5,30,27800,11145,11060,11280,20838,4
-135,228,74,27472,11109,11012,11280,20899,4
-70,89,53,27527,11084,11182,11341,20737,4
35,24,-29,27310,11121,11133,11329,20676,4
24,-24,-18,27472,11133,11157,11255,20495,4
4,69,-11,27581,11121,11133,11317,20555,4
-1,-56,12,28022,11072,11157,11354,20777,4
-11,13,17,28329,11109,11109,11354,20798,4
-94,14,21,28189,11060,11133,11317,20595,4
-53,-33,62,28357,11182,11403,11391,20737,4
7,-75,69,28357,11280,11628,11528,20676,4
48,-83,4,28498,11403,11804,11779,20676,4
-30,12,13,28357,11540,11932,11906,20575,4
-148,-164,-25,28161,11603,11906,11957,20716,4
66,-38,-33,28161,11553,11716,11906,20495,4
25,-30,-24,28161,11515,11565,11906,20595,4
-51,11,-13,28049,11453,11855,11817,20495,4
-5,32,19,27856,11478,12477,11830,20335,4
59,-32,-5,27966,11515,12556,11957,20535,4
75,79,-23,27966,11728,13468,12073,20615,4
5,31,-5,27939,11804,13068,12176,20515,4
87,6,8,27800,11653,12320,12073,20455,4
24,-18,-27,27911,11428,11842,12060,20375,4
-73,-31,43,27800,11465,11817,11932,20256,4
55,-17,-21,27966,11403,11716,11970,20256,4
-3,-118,31,28133,11403,11766,11970,20395,4
81,87,-38,28133,11416,11766,12034,20395,4
89,-49,57,27718,11366,11842,12009,20355,4
152,-159,-50,29568,11268,11716,12009,21437,4
-66,32,65,29509,11231,11578,11932,21043,4
-38,-68,53,29042,11255,11478,11817,20716,4
-169,-105,42,28898,11170,11280,11553,20475,4
-13,65,-56,28583,11219,11231,11515,19612,4
12,-38,10,28754,11170,11157,11578,19535,4
-22,-20,19,28583,11121,11109,11528,19612,4
-157,-18,39,28583,11145,11145,11553,19612,4
29,-6,44,28583,11157,11304,11503,19401,4
17,3,30,28385,11157,11280,11528,19612,4
27,15,7,28357,11157,11354,11603,19458,4
11,-10,28,28527,11206,11268,11603,19535,4
33,-49,12,28726,11157,11268,11615,19631,4
7,-12,-14,28898,11157,11379,11640,19497,4
7,-75,-8,28984,11170,11317,11653,19631,4
15,-106,-27,28927,11157,11366,11703,19631,4
-53,-50,-21,29216,11231,11379,11716,20375,4
-26,-38,-10,29216,11157,11317,11906,20676,4
22,15,-24,29509,11170,11416,11932,20981,4
33,88,-36,29746,11194,11403,11932,21043,4
57,-41,36,30105,11170,11391,11906,21084,4
35,41,-18,29984,11133,11317,12009,21064,4
-50,36,-31,29657,11133,11317,11970,20818,4
-33,-30,-99,29627,11133,11440,11957,20899,4
-48,34,-51,29538,11157,11354,11957,20757,4
-85,127,-19,29391,11206,11354,11970,20737,4
-71,100,9,29216,11206,11379,12073,20798,4
-118,147,68,29187,11219,11366,12189,20777,4
93,-84,-118,29216,11157,11465,12215,20859,4
-39,11,-161,29216,11170,11478,12254,20818,4
-33,99,-87,29187,11206,11440,12320,20838,4
-36,4,-34,29100,11145,11403,12424,20818,4
-62,71,-101,29158,11170,11453,12372,20716,4
72,2,-138,28955,11157,11465,12490,20575,4
-22,62,58,28927,11170,11478,12451,20636,4
140,-129,-44,28984,11157,11440,12690,20555,4
17,2,1,28984,11206,11453,12797,20555,4
-208,-202,-68,28840,11121,11440,12424,20535,4
-52,51,-23,28840,11206,11304,11881,20117,4
13,133,-52,28612,11145,11292,11830,20256,4
3,147,22,28640,11206,11268,11754,20019,4
-82,78,80,28498,11182,11317,11754,20019,4
45,-105,-26,28470,11206,11366,11804,19980,4
75,-117,15,28385,11170,11317,11754,19999,4
69,22,-6,28470,11206,11317,11741,19941,4
53,35,3,28385,11170,11304,11779,20117,4
71,95,-20,28470,11182,11292,11804,20157,4
100,12,-23,28385,11157,11304,11754,20039,4
-68,56,-26,28470,11145,11379,11578,19999,4
-71,56,-8,28470,11157,11317,11603,20216,4
23,-13,17,28301,11182,11317,11653,20078,4
-3,4,-22,28470,11206,11292,11603,20216,4
42,7,-29,28357,11121,11379,11640,20157,4
30,30,-10,28414,11109,11317,11653,20216,4
26,77,-25,28470,11157,11304,11640,20117,4
6,-17,14,28357,11109,11317,11653,20098,4
-39,29,-27,28357,11206,11329,11653,19960,4
-47,41,-11,28357,11157,11304,11553,20176,4
55,111,5,28414,11182,11304,11590,20157,4
-20,230,7,28498,11170,11354,11628,20176,4
-113,-15,8,28555,11182,11317,11665,20098,4
-34,-62,-32,28385,11145,11206,11528,19960,4
-16,-3,13,28470,11109,11243,11565,19902,4
-46,-60,-1,28555,11170,11280,11515,19941,4
-206,65,43,28301,11121,11194,11503,19941,4
20,-10,40,28161,11133,11157,11528,19863,4
-28,-51,63,28357,11170,11157,11403,19863,4
11,55,-15,28217,11157,11096,11366,19863,4
-54,69,-28,27966,11145,11157,11391,19746,4
0,18,36,27966,11157,11231,11354,19824,4
13,1,6,28022,11157,11072,11416,19746,4
-86,5,66,27911,11084,11121,11403,19843,4
-79,25,63,27828,11109,11145,11366,19785,4
-63,-17,29,27856,11072,11170,11440,19785,4
-21,-23,9,27828,11121,11366,11453,19766,4
-6,-32,5,27828,11231,11603,11578,19785,4
15,-53,-4,27911,11416,11996,11640,19843,4
18,-16,-2,27800,11665,12583,11703,19960,4
21,-55,-4,27828,11970,13580,11766,19766,4
87,113,-42,28077,12073,14488,11957,19766,4
7,-30,-13,28022,12228,15615,12099,19785,4
-27,8,-1,28105,12320,15916,12228,19999,4
31,-7,-27,27939,12372,15710,12267,19805,4
22,-75,16,27939,12636,16731,12905,19921,4
17,-3,-21,27966,12851,17565,13821,19980,4
-37,9,33,27883,12932,17968,14093,19785,4
-15,18,-26,27828,12959,17915,13921,19921,4
23,-28,11,27800,12918,17862,13906,19863,4
57,-63,60,27911,12972,17530,13650,19727,4
92,5,-4,27856,12851,16028,13510,19805,4
-33,44,17,28022,12438,14370,13232,19921,4
-60,100,4,28133,12021,13384,12905,19921,4
-47,-84,-23,28105,11741,13218,12623,19805,4
43,-3,-41,28022,11754,13357,12372,19727,4
71,130,-1,28022,11640,13440,12189,19824,4
-55,46,24,27828,11515,13301,12073,19766,4
-11,-38,0,28022,11428,13371,12150,19766,4
-6,-49,-24,28245,11403,13566,12086,19766,4
21,-19,-3,28357,11354,13821,12009,19727,4
-1,24,25,28301,11366,13566,12021,19708,4
13,66,-31,28245,11354,13246,12021,19689,4
20,22,5,28245,11317,13027,12034,19708,4
-62,80,-18,28189,11317,12810,12124,19785,4
37,30,-59,28245,11304,12649,12163,19650,4
-54,14,-13,28583,11304,12517,12073,19882,4
