GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-5,40,-45,20981,10939,11231,23684,22754,3
-56,27,-12,21146,11012,11243,23661,22754,3
-9,-16,-35,21043,10951,11280,23684,22665,3
13,-39,-17,21105,10915,11231,23847,22754,3
-48,14,19,21291,10963,11280,23777,22932,3
-12,-33,20,21250,11012,11292,23870,22887,3
-83,4,74,21208,11012,11304,23661,22865,3
83,-38,60,21375,10951,11170,23870,22599,3
-2,-15,117,21479,10975,11170,23615,22776,3
1,11,33,21563,10939,11292,23661,22798,3
-116,33,14,21521,11012,11145,23615,22665,3
-11,17,48,21542,11012,11304,23800,22709,3
-69,10,44,21458,11024,11170,23777,22510,3
49,-10,22,21542,10951,11133,23615,22488,3
-39,6,17,21542,11012,11157,23730,22621,3
-32,18,6,21437,10939,11255,23615,22599,3
46,-2,7,21458,10999,11219,23730,22488,3
27,1,14,21500,10927,11280,23777,22488,3
-26,9,15,21312,11012,11255,23684,22576,3
57,-2,-4,21395,11012,11170,23661,22665,3
-12,17,10,21312,10963,11206,23707,22401,3
9,6,6,21229,10927,11292,23569,22401,3
-34,-8,10,21208,11012,11268,23569,22444,3
43,7,-16,21208,10963,11243,23569,22599,3
44,-1,-3,21229,10963,11268,23661,22599,3
-5,4,7,21270,10927,11170,23754,22488,3
-4,-12,1,21187,10951,11231,23661,22599,3
22,-2,7,21208,10975,11182,23592,22488,3
24,-6,-4,21229,10987,11255,23661,22532,3
-18,-5,1,21167,10963,11243,23499,22576,3
-52,11,2,21229,11024,11317,23569,22576,3
-42,12,0,21208,10963,11170,23477,22423,3
21,1,-12,21187,11012,11182,23569,22401,3
10,-2,-13,21208,11012,11280,23499,22444,3
-112,15,2,21208,10951,11206,23615,22576,3
-22,-13,15,21208,11012,11255,23499,22510,3
-29,10,14,21250,10939,11182,23569,22423,3
-12,1,-8,21250,10927,11182,23431,22532,3
-21,16,24,21229,11012,11292,23431,22444,3
15,4,9,21146,10951,11280,23569,22466,3
-21,26,16,21146,10975,11243,23569,22313,3
-21,2,8,21105,11024,11231,23546,22313,3
-85,16,13,21187,10963,11170,23569,22444,3
-26,-10,3,21084,11012,11255,23615,22488,3
-72,7,6,21208,11012,11304,23569,22379,3
-69,25,-4,21208,11012,11170,23477,22248,3
-31,-7,23,21084,11024,11268,23592,22357,3
-3,2,15,21064,10963,11206,23499,22313,3
8,0,1,21187,10939,11255,23522,22379,3
38,-3,12,21043,10963,11231,23431,22248,3
-18,8,4,21208,10939,11268,23431,22226,3
-11,10,8,21125,11024,11268,23431,22313,3
-5,-1,-3,21125,11012,11231,23569,22313,3
31,-11,8,21064,10939,11182,23431,22357,3
5,11,0,21064,10975,11268,23408,22444,3
-16,4,-5,21167,10951,11292,23569,22248,3
-46,2,3,21043,11012,11268,23522,22313,3
-49,10,18,21167,10963,11304,23592,22248,3
-78,13,18,21146,10963,11182,23592,22401,3
-148,40,12,21146,11012,11255,23522,22313,3
-30,9,-4,21084,11012,11243,23522,22401,3
11,0,-9,21043,10975,11268,23569,22226,3
14,2,-3,21022,11012,11206,23431,22423,3
36,-7,0,21125,10987,11280,23454,22270,3
20,1,-6,21125,10963,11255,23385,22313,3
8,9,-21,21043,11024,11231,23569,22226,3
50,-1,-16,21125,10975,11182,23499,22226,3
3,1,3,21146,10951,11206,23385,22226,3
-24,3,5,21002,10963,11280,23477,22357,3
16,-2,-5,21167,11012,11280,23592,22401,3
20,2,3,21064,11012,11255,23431,22401,3
19,7,4,21105,10975,11231,23385,22292,3
11,14,16,21146,10963,11255,23431,22357,3
-52,21,7,21022,10951,11280,23477,22357,3
-45,8,49,21125,11012,11206,23362,22313,3
11,2,60,21146,10987,11219,23522,22226,3
-119,-6,-22,21084,11036,11268,23339,22226,3
