GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
9,-29,9,17845,11121,36690,31497,22754,2
2,3,7,17915,11084,36728,31529,22665,2
14,-1,-4,17809,11133,36767,31307,22554,2
-18,39,-1,17827,11060,36728,31370,22754,2
1,19,-3,17845,11072,36920,31593,22576,2
12,17,-10,17827,11036,36614,31213,22665,2
4,8,2,17880,11133,36652,31181,22532,2
3,5,0,17809,11121,36882,31244,22643,2
-6,-23,2,17809,11060,36690,31339,22621,2
12,-22,-2,17862,11109,36920,31465,22599,2
35,-34,4,17862,11060,36767,31339,22687,2
144,-93,1,17915,11121,36652,31402,23499,2
-21,19,-1,17986,11133,36690,31402,24223,2
-5,29,-48,18129,11060,36805,31881,24727,2
-19,-31,-27,18218,11109,37701,32699,25142,2
-66,16,6,18290,11060,39327,33921,25717,2
-3,-15,1,18075,11060,40088,34130,25793,2
-10,62,-10,18129,11060,40216,34271,25996,2
-107,-24,38,19024,11145,39917,34271,25490,2
10,64,74,21125,11060,39119,33714,25093,2
-54,59,52,23964,11060,38995,33371,24702,2
-58,127,14,26935,11157,38912,33033,24247,2
58,3,8,29895,11121,39960,33067,24199,2
-42,94,-11,32238,11036,41000,32765,24058,2
-11,46,-46,33269,11133,40173,32369,23385,2
0,182,-67,31025,11133,36767,30838,22226,2
12,112,-50,30962,11157,36614,30226,22292,2
14,-9,-9,33033,11121,37980,31181,23225,2
139,-100,-71,35199,11157,39411,32500,25742,2
44,-41,-12,34553,11072,38995,32899,28385,2
46,-6,-1,33921,11048,38341,33067,29274,2
16,67,-24,32932,11170,37386,33168,28984,2
-105,73,90,30045,11170,37940,32899,28189,2
-46,22,-4,29187,11109,37900,32832,27691,2
83,-34,77,25341,11096,38382,32765,27418,2
-24,-63,32,23754,11170,39327,33303,27256,2
28,-23,17,22032,11145,40173,33508,27527,2
105,22,-4,20798,11170,40002,33714,27581,2
-40,49,-17,19516,11133,39747,33921,27499,2
