GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
0.0,0.0,0.0,22053,11553,9599,11109,41667,4
0.0,0.0,0.0,22053,11553,9621,11121,41488,4
0.0,0.0,0.0,22053,11553,9610,11121,41443,4
0.0,0.0,0.0,22075,11565,9599,11109,41488,4
0.0,0.0,0.0,22075,11565,9599,11133,41399,4
0.0,0.0,0.0,22075,11578,9599,11109,41488,4
0.0,0.0,0.0,22053,11628,9588,11121,41622,4
0.0,0.0,0.0,22053,11615,9599,11121,41622,4
0.0,0.0,0.0,22010,11590,9621,11109,41488,4
0.0,0.0,0.0,22010,11565,9599,11133,41757,4
0.0,0.0,0.0,21967,11565,9599,11133,41221,4
0.0,0.0,0.0,22010,11578,9588,11121,41221,4
0.0,0.0,0.0,22010,11553,9577,11133,41399,4
0.0,0.0,0.0,22010,11565,9599,11109,41221,4
0.0,0.0,0.0,22010,11578,9599,11133,41221,4
0.0,0.0,0.0,22010,11603,9599,11109,41399,4
0.0,0.0,0.0,22010,11565,9599,11109,41309,4
0.0,0.0,0.0,22010,11565,9588,11109,41221,4
0.0,0.0,0.0,22010,11578,9599,11109,41221,4
0.0,0.0,0.0,22010,11603,9599,11133,41132,4
0.0,0.0,0.0,21903,11590,9621,11109,41176,4
0.0,0.0,0.0,22010,11615,9588,11109,41265,4
0.0,0.0,0.0,22010,11603,9588,11109,41221,4
0.0,0.0,0.0,21924,11603,9577,11133,41088,4
0.0,0.0,0.0,21967,11603,9599,11109,41265,4
0.0,0.0,0.0,22010,11603,9599,11133,41221,4
0.0,0.0,0.0,22010,11603,9599,11109,41221,4
0.0,0.0,0.0,22010,11603,9588,11121,41132,4
0.0,0.0,0.0,22010,11578,9599,11133,41221,4
0.0,0.0,0.0,22010,11590,9599,11109,41088,4
0.0,0.0,0.0,22010,11578,9588,11109,41088,4
0.0,0.0,0.0,21967,11553,9599,11109,41088,4
0.0,0.0,0.0,22010,11553,9599,11109,41309,4
0.0,0.0,0.0,21967,11515,9577,11109,41044,4
