GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-128,-27,-29,27499,28301,37230,35602,29100,0
-43,-46,23,28726,28189,36998,35418,28812,0
39,3,-31,28726,28161,36843,34910,28640,0
6,-13,-3,28527,28133,36805,34731,28527,0
5,34,-14,28442,28049,36767,34624,28470,0
-38,116,23,28329,28105,36805,34518,28385,0
-44,244,-6,28022,28022,36805,34376,28357,0
-60,239,-27,27883,28077,36767,34306,28357,0
-37,114,-24,27800,28022,36767,34200,28301,0
7,37,-12,27800,28022,36767,34165,28301,0
54,1,-48,27718,28022,36767,34130,28301,0
35,54,-18,27581,28022,36767,34165,28301,0
-38,40,-27,27472,28077,37036,33991,28189,0
-138,152,-22,27609,28245,37269,33474,28133,0
-19,30,16,28133,28357,37465,32599,28022,0
-74,-53,19,28527,28385,37465,32043,27966,0
-98,-10,33,28927,28527,37622,31849,27800,0
-30,48,58,29158,28583,37465,31688,27800,0
-107,-32,178,29100,28527,37386,31119,27472,0
-93,15,105,28612,28640,37308,30499,27175,0
-25,58,-6,28583,28697,37152,30135,27095,0
11,30,-4,28357,28669,37230,29805,26988,0
125,95,5,26961,28840,37075,29421,26935,0
81,37,78,25894,28927,36959,29071,26776,0
-35,102,-3,24318,28754,36690,28754,26723,0
68,-4,77,22096,28527,36386,29158,26829,0
128,-55,171,20575,27911,36386,29158,26855,0
-203,-1,-78,20716,27800,36348,29538,27041,0
-31,86,5,21146,27581,36499,31087,27418,0
26,-211,122,21125,27364,36576,31339,27499,0
-80,-46,68,20656,27256,36690,31339,27445,0
198,240,-110,20335,27256,36614,31339,27364,0
18,70,34,20315,27554,36499,31946,27554,0
-3,78,18,20315,27828,36424,32010,27499,0
71,346,68,19843,27800,36386,31978,27472,0
131,-118,83,19805,27828,36386,32108,27800,0
-41,118,102,20395,28783,36728,32271,28133,0
68,-145,-49,20495,28470,36690,32271,28357,0
164,-301,93,21229,28555,36728,32173,28133,0
341,-225,91,21733,28669,36690,32075,27718,0
175,43,-5,21250,28527,36576,31881,27364,0
252,108,23,20256,28301,36310,31881,27095,0
316,36,-2,19592,28189,35898,31752,26802,0
-18,-6,14,19005,28189,35861,31688,26566,0
-97,99,-137,18272,28329,35787,31688,26409,0
-22,-74,-9,17774,28273,35712,31688,26331,0
164,-145,-11,17774,28301,35824,31656,26228,0
216,-90,-48,17409,28245,35712,31624,26202,0
95,9,-37,17254,28161,35676,31593,26124,0
-115,-11,-156,17426,28133,35712,31624,26124,0
25,-80,0,17426,28105,35712,31624,26124,0
17,-53,-43,17461,28049,35676,31529,26099,0
-29,33,-43,17565,27994,35712,31465,26099,0
160,-27,-24,17634,27911,35712,31465,26047,0
-3,22,-26,17495,27966,35712,31465,26022,0
-10,-12,-7,17530,27911,35602,31465,26022,0
11,-35,7,17565,27939,35676,31465,25996,0
25,0,-5,17600,27911,35639,31465,26022,0
47,-36,-12,17617,27856,35639,31370,25996,0
-16,-12,5,17634,27856,35639,31402,25971,0
-15,-29,-7,17634,27828,35602,31434,25996,0
9,-24,-20,17617,27856,35639,31339,25996,0
2,-61,-22,17652,27828,35602,31339,25945,0
-6,-103,-47,17704,27911,35639,31370,25971,0
-57,-100,-21,17739,27828,35639,31339,25945,0
19,-112,-42,17739,27800,35639,31370,25843,0
-53,-92,-45,17722,27828,35602,31339,25894,0
-24,-82,21,17687,27773,35565,31339,25894,0
-12,1,6,17634,27800,35565,31276,25818,0
-44,-38,14,17600,27691,35492,31339,25793,0
-29,10,33,17495,27636,35455,31339,25793,0
2,-5,1,17443,27636,35455,31339,25717,0
-28,-14,23,17357,27609,35345,31434,25742,0
-11,18,6,17340,27609,35236,31402,25641,0
-6,-5,-12,17306,27581,35272,31434,25691,0
32,22,-32,17306,27527,35272,31402,25616,0
23,-33,-24,17306,27554,35272,31339,25691,0
34,-24,-19,17374,27499,35199,31434,25616,0
22,-16,-32,17443,27499,35272,31402,25616,0
3,-18,-21,17582,27527,35236,31402,25691,0
-26,-12,-1,17582,27554,35199,31465,25616,0
-1,-26,-10,17582,27418,35272,31434,25691,0
5,-16,-1,17634,27472,35272,31497,25691,0
24,10,-7,17687,27418,35163,31497,25691,0
-30,1,15,17722,27418,35163,31497,25742,0
-79,-34,3,17845,27472,35127,31561,25742,0
-9,-52,-2,18236,27472,35199,31593,25818,0
-112,1,14,18635,27310,35199,31593,25818,0
-81,-47,16,19061,27283,35345,31624,25894,0
-14,-13,14,19231,27283,35309,31593,25945,0
15,-13,12,19592,27256,35418,31497,25894,0
-54,3,15,19766,27256,35418,31561,25996,0
-16,30,-17,19863,27283,35418,31561,25945,0
-52,-60,9,20078,27364,35528,31593,26022,0
-91,82,-51,20455,27499,35712,31370,26202,0
-147,72,38,21796,27609,35935,31307,26513,0
-218,44,20,23385,27773,36160,31339,26855,0
-74,-18,23,25440,27911,36462,31370,27095,0
-11,-9,-12,26202,27856,36386,31339,27364,0
