GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-43,26,-15,16173,11453,11268,26670,26697,3
-13,20,0,16222,11465,11231,26618,26566,3
0,23,-3,16157,11465,11194,26618,26566,3
-19,19,3,16093,11478,11255,26670,26566,3
-4,-7,-3,16060,11453,11231,26566,26409,3
-10,3,1,16093,11465,11182,26644,26566,3
36,-17,7,16109,11453,11206,26539,26566,3
-31,0,-21,16173,11453,11206,26592,26670,3
-19,1,3,16287,11465,11170,26644,26566,3
106,-92,22,16417,11453,11206,26566,26723,3
207,-152,68,16434,11503,11231,26618,26644,3
139,-93,135,16831,11515,11243,26461,26644,3
-125,12,106,17152,11503,11206,26409,26566,3
-55,36,6,17152,11503,11219,26305,26566,3
102,45,-66,17016,11515,11243,26305,26513,3
118,15,8,16983,11453,11219,26305,26461,3
47,-45,54,16798,11453,11157,26279,26305,3
0,-29,44,16681,11465,11194,26253,26305,3
-84,-9,30,16565,11428,11194,26253,26253,3
-143,-23,89,16516,11416,11170,26253,26253,3
-263,91,-29,16483,11379,11231,26176,26202,3
-158,97,17,16352,11416,11182,26253,26202,3
-75,62,22,16254,11403,11182,26253,26176,3
6,100,-8,16222,11403,11157,26253,26099,3
139,91,-58,16189,11440,11157,26124,26228,3
-57,53,-30,16222,11416,11157,26150,26176,3
-318,29,-164,16189,11379,11121,26124,26202,3
13,55,-131,16076,11416,11145,26253,26409,3
-304,-50,-63,16028,11354,11157,26253,26435,3
-178,-103,-82,16044,11416,11121,26202,26618,3
-21,-5,-48,16028,11416,11121,26202,26435,3
-147,-158,-81,15964,11354,11157,26202,26357,3
-988,-311,14,15916,11391,11157,26305,26305,3
-723,-446,72,15821,11366,11157,26228,26409,3
-76,-150,91,15537,11465,11109,26305,26357,3
220,-134,-80,15521,11503,11109,26228,26331,3
269,-48,-37,15521,11453,11121,26331,26331,3
16,50,-2,15475,13735,11133,26202,26331,3
62,59,-28,15397,11615,11109,26202,26331,3
66,-26,-20,15397,14756,11096,26253,26202,3
107,-15,-20,15319,12241,11194,26228,26202,3
9,36,-18,15288,12293,11157,26228,26279,3
150,2,-3,15273,12543,11157,26176,26202,3
236,120,-17,15288,14636,11133,26124,26228,3
90,34,-23,15273,11540,11157,26124,26150,3
88,-24,27,15288,11503,11157,26202,26150,3
47,-15,27,15304,11379,11157,26202,26099,3
13,23,-7,15335,11416,11109,26202,26150,3
13,49,14,15273,11453,11109,26150,26150,3
6,5,51,15227,15647,11109,26047,26099,3
51,-35,28,15227,14562,11157,26099,26099,3
-9,79,49,15242,11503,11157,26099,26047,3
6,-10,-22,15227,11428,11157,26124,26099,3
-32,17,-25,15273,11403,11109,26047,26047,3
