GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
9,12,-6,16798,31087,41757,34910,34271,0
26,-8,-4,16815,31150,41757,34946,34200,0
-25,-4,20,16748,31056,41712,34946,34165,0
-2,-12,11,16781,31119,41757,34874,34200,0
-9,12,4,16815,31087,41757,34910,34200,0
4,-6,-5,16882,31119,41757,34910,34235,0
17,7,-5,16915,31087,41712,34874,34165,0
21,2,26,16983,31025,41622,34910,34165,0
18,-25,-12,16949,31119,41712,34982,34165,0
25,-24,-20,16966,31087,41622,34982,34165,0
81,-78,-68,16983,31087,41622,34982,34200,0
116,-18,-157,16983,31025,41757,35055,34200,0
123,-33,-179,17084,31025,41622,35091,34130,0
171,12,-175,17186,30962,41712,35199,34165,0
57,54,-73,17289,30962,41803,35199,34165,0
134,6,-13,17374,30931,41667,35199,34200,0
97,42,19,17669,30962,41622,35127,34200,0
100,40,21,17600,30994,41622,34982,34165,0
77,-53,-5,17513,30869,41443,34874,34060,0
36,6,-18,17634,30900,41399,34767,34060,0
-131,181,-28,17289,30900,41309,34589,34165,0
11,-6,37,16983,30962,41309,34589,34060,0
134,-9,-38,16815,31087,41265,34553,33991,0
30,119,-20,16483,30962,41399,34624,33991,0
52,90,28,16125,30869,41399,34553,33991,0
100,340,21,21989,30776,41488,34874,34060,0
196,135,-80,24630,30807,41577,35055,34060,0
-95,12,-80,25490,30745,41577,34874,33991,0
-118,-158,51,27041,30622,41488,34767,33956,0
4,-228,43,27527,30499,41443,34731,34026,0
-100,-282,-4,28329,30561,41488,34553,33991,0
-33,-101,70,28301,30469,41488,34589,34060,0
44,-5,-37,29071,30317,41443,34696,34026,0
18,-51,-42,29746,30256,41488,34696,33921,0
50,3,-22,29865,30165,41488,34696,33887,0
-14,59,-2,30347,30165,41399,34696,33956,0
39,84,-18,29746,30105,41265,34553,33852,0
-2,-16,-21,28385,30105,41309,34376,33852,0
35,10,-28,28329,30015,41221,34341,33887,0
