GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-7,-13,4,17220,11665,41176,30715,26202,2
-2,4,9,17237,11665,41044,30715,26150,2
-28,-3,12,17272,11628,41000,30715,26150,2
-13,27,5,17254,11615,41044,30715,26150,2
5,1,4,17289,11603,41044,30653,26202,2
-15,11,6,17220,11578,41132,30715,26228,2
6,6,5,17254,11565,41132,30715,26228,2
38,10,22,17306,11503,41176,30591,26124,2
11,-36,19,17323,11453,41221,30591,26124,2
31,-127,59,17374,11317,41132,30226,25996,2
-60,-154,126,17254,11255,40519,29538,25641,2
-68,-70,84,17118,11194,40259,29158,25465,2
-40,9,89,16949,11170,39960,29042,25316,2
-3,-58,44,17016,11157,39832,28984,25266,2
-27,12,53,17067,11157,39747,28869,25241,2
-34,-37,40,17016,11157,39747,28726,25093,2
-14,48,36,16949,11133,39244,28783,25266,2
-109,20,62,16865,11268,39036,29042,26461,2
-37,-87,17,16748,11157,38953,29362,27364,2
-8,33,9,16748,11157,38953,30195,28498,2
-6,25,-13,16715,11157,39327,30715,29568,2
15,-22,-35,16715,11157,39411,30377,28955,2
-11,89,-17,16698,11145,39578,30015,28357,2
-21,28,17,16598,11170,39327,29984,28133,2
35,13,-20,16549,11157,39327,29925,28022,2
56,10,-27,16549,11157,39327,29775,27939,2
59,-13,-12,16615,11170,39369,29865,27939,2
46,-14,-23,16615,11157,39285,29865,27883,2
69,-34,-30,16615,11121,39327,29865,27800,2
-3,-1,0,16549,11157,39285,29775,27718,2
-33,11,23,16516,11182,39285,29746,27718,2
-25,-56,64,16582,11182,39160,29746,27636,2
-96,8,69,16532,11133,39327,29746,27527,2
-122,112,96,16499,11280,39327,29568,27527,2
-17,215,-18,16565,11133,39327,29627,27499,2
33,78,-15,16565,11170,39244,29538,27148,2
-114,27,8,16483,11170,39160,29421,27041,2
-36,9,11,16467,11157,39036,29450,26935,2
-54,-2,38,16417,11182,38995,29391,26935,2
2,-1,4,16417,11157,38871,29333,26855,2
-52,48,7,16417,11182,38995,29274,26988,2
-94,41,15,16352,11157,39119,29421,26829,2
-79,64,73,16417,11182,39705,29391,26935,2
77,-114,114,17357,11219,39960,29450,26961,2
-184,-263,-11,19306,11503,39285,29274,26566,2
77,-75,-26,20196,11665,39244,28754,26253,2
-162,-47,-45,20335,11792,39077,28527,26305,2
-21,24,15,19689,11754,38707,28669,26435,2
-123,-29,77,19287,11691,38585,29391,27581,2
-92,-47,5,18727,11603,38382,29984,28812,2
-50,0,-49,18435,11515,38463,30377,29450,2
-70,52,0,18362,11553,38503,30226,29274,2
-217,0,68,18362,11503,38341,30045,28840,2
-154,-49,0,18164,11503,38220,29627,28498,2
50,-100,-28,18129,11503,38180,29509,28414,2
-39,-115,11,18075,11440,38260,29391,28161,2
53,-45,-66,18129,11465,38180,29304,28189,2
12,-80,-33,18218,11465,38220,29158,28105,2
-127,95,-4,18272,11453,38260,29158,28189,2
-68,3,-26,18272,11503,38260,29187,28161,2
-87,19,38,18236,11453,38140,29158,28133,2
