GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-36,-53,17,22687,27041,12280,11957,10843,1
9,1,29,22709,26988,12320,11932,10867,1
75,-14,-32,22709,26935,12320,11919,10867,1
4,85,-9,22687,26908,12320,11932,10867,1
22,25,-9,22554,26829,12293,11906,10855,1
-8,-9,8,22554,26749,12320,11919,10843,1
-8,-2,11,22532,26723,12306,11906,10831,1
-8,0,-7,22576,26670,12320,11932,10831,1
-4,26,7,22554,26618,12306,11906,10867,1
-124,24,-40,22576,26461,12060,11881,10795,1
36,154,133,22335,25945,11503,11728,10748,1
31,41,147,21903,25616,11280,11653,10676,1
-56,265,254,21229,25591,11219,11603,10688,1
2,220,145,20475,25415,11231,11590,10676,1
85,22,30,20117,25415,11292,11565,10676,1
368,-15,-68,20019,25390,11206,11553,10653,1
256,-110,31,19960,25390,11206,11528,10676,1
284,-51,-86,19766,25440,11231,11528,10653,1
149,-43,19,19689,25390,11317,11528,10664,1
174,33,62,19708,25390,11280,11553,10641,1
420,-105,-112,19689,25291,11317,11515,10641,1
472,-11,-222,19689,25291,11366,11565,10641,1
179,-85,1,19805,25291,11478,11578,10700,1
422,-293,-236,19843,25291,11842,11603,10712,1
-28,-48,6,19863,25192,11842,11653,10724,1
-48,5,-32,19785,25192,11855,11628,10724,1
51,2,-14,19689,25192,11792,11603,10688,1
-139,-67,-19,19650,25142,11754,11578,10676,1
-87,16,52,19689,25616,11665,11515,10676,1
-384,188,129,19785,25565,11528,11528,10629,1
-400,102,174,19766,25390,11354,11515,10641,1
-53,32,80,19727,25216,11304,11478,10605,1
-50,36,43,19708,25192,11317,11503,10605,1
46,49,-13,19631,25093,11317,11478,10629,1
75,-32,6,19592,25118,11416,11503,10629,1
34,33,32,19999,25192,11766,11515,10629,1
30,-23,-19,20636,25192,12021,11553,10629,1
-30,21,140,22665,25490,12878,11615,10688,1
139,-86,19,26357,26618,14681,11830,10664,1
26,143,22,27445,26908,14711,11855,10688,1
-106,136,75,31119,27828,15584,12073,10676,1
287,172,-39,33168,28245,15964,12267,10676,1
-157,19,83,32932,28189,16483,12411,10653,1
-451,-63,204,32435,28022,17272,12690,10688,1
94,80,22,32932,28022,17862,13163,10688,1
274,-68,-88,36767,27911,17933,13287,10641,1
311,-79,-94,37701,28301,18272,13538,10676,1
180,-167,-82,38100,29158,18272,13693,10653,1
155,-160,16,38463,29568,18147,13778,10664,1
76,3,-30,38059,29568,17722,13792,10653,1
47,-65,-37,37940,29158,17289,13693,10653,1
2,-152,-26,38059,28984,16815,13622,10676,1
-114,-100,41,38019,28898,16254,13524,10676,1
-181,-15,38,37543,28583,15366,13095,10688,1
-50,87,1,36386,28385,14503,12716,10688,1
26,46,44,35639,28245,13636,12346,10700,1
-144,90,44,34731,27883,12851,12112,10664,1
-74,38,30,34624,27828,12372,11983,10688,1
-142,19,24,34518,27828,12372,11970,10688,1
-67,217,34,34200,27581,12636,12009,10688,1
45,12,-9,34130,27499,12770,12009,10700,1
59,128,-17,34130,27581,12918,12060,10676,1
36,153,-33,34200,27581,12743,12034,10688,1
87,74,-48,34624,27828,12730,12034,10688,1
88,64,-25,34026,27800,12730,12060,10736,1
24,49,-38,33576,27663,12730,12047,10688,1
-53,19,-7,33887,27499,12797,12047,10676,1
-53,-44,2,34271,27202,12810,12021,10724,1
-15,20,-27,34165,27068,12959,11983,10688,1
35,21,-32,34200,27148,13315,12021,10688,1
40,-11,-18,33887,27041,13384,12009,10676,1
69,-5,11,33852,26988,13482,12021,10676,1
58,53,12,33991,27015,13510,12009,10676,1
-18,41,13,33783,27015,13524,12047,10688,1
-27,-4,-1,33645,26988,13636,12009,10653,1
-20,-8,-27,33576,26988,13608,12034,10676,1
5,-103,-36,33748,26935,13580,12021,10641,1
23,-118,-4,33921,26855,13566,12034,10688,1
102,-66,-28,33991,26855,13510,12034,10688,1
42,53,-51,34026,26855,13580,12047,10676,1
40,166,-32,34026,26618,14007,12009,10688,1
-81,140,-50,33714,26461,14444,12060,10688,1
-89,117,10,33337,26409,14518,12086,10676,1
69,-25,-32,32899,26331,14547,12112,10700,1
-120,-19,47,31752,26099,14786,12073,10688,1
-90,40,28,30499,25894,15242,12163,10748,1
-110,70,37,29100,25818,15397,12163,10700,1
24,104,7,27883,25591,15600,12189,10724,1
-44,28,7,26566,25390,15584,12176,10724,1
-49,67,-6,25390,25341,15600,12215,10724,1
-49,-25,1,24751,25515,15948,12254,10748,1
-174,-175,-5,24176,25565,16206,12280,10748,1
-125,-48,44,23684,25666,16125,12293,10771,1
-81,23,56,22709,25490,14952,12176,10771,1
79,115,-13,21711,25118,13580,11932,10724,1
32,20,-24,21002,24946,12756,11779,10676,1
82,63,16,20757,24873,12543,11779,10688,1
40,-55,-13,20716,24824,12451,11766,10688,1
56,17,-15,20636,24751,12333,11766,10700,1
78,-14,-47,20636,24751,12267,11728,10688,1
-63,38,8,20676,24702,12346,11754,10700,1
-175,18,35,20716,24702,12372,11754,10700,1
-91,-2,38,20716,24799,12477,11766,10688,1
-77,-26,32,20737,24824,12649,11766,10688,1
-116,98,1,20716,24848,12690,11779,10688,1
-73,-22,-11,20798,24824,12797,11779,10688,1
28,-46,12,20757,24848,12851,11754,10676,1
71,-12,-32,20798,24824,12797,11754,10676,1
-10,35,-25,20798,24824,12810,11741,10688,1
-78,0,-1,20757,24799,12810,11754,10676,1
-10,-30,16,20676,24799,12810,11741,10688,1
34,-6,-31,20716,24799,12797,11754,10688,1
35,69,14,20575,24751,12797,11728,10676,1
37,3,-18,20737,24751,12797,11716,10641,1
