GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-31,8,1,28754,11157,36386,30377,25894,2
25,-14,-1,28812,11157,36462,30591,26022,2
14,9,4,28697,11157,36424,30499,25971,2
-12,1,-24,28726,11182,36386,30561,25894,2
4,9,12,28726,11206,36462,30347,26047,2
-11,19,-15,28612,11157,36310,30347,26022,2
12,-23,15,28640,11157,36272,30591,25920,2
20,-15,2,28640,11206,36462,30438,25894,2
-29,-36,38,28927,11206,36499,30469,26124,2
-5,142,52,30317,11170,36767,31244,27041,2
-46,-5,101,31119,11268,36767,31465,27256,2
-41,-51,72,31497,11280,36920,31561,27364,2
-72,35,16,31529,11231,36882,31497,27418,2
-14,4,-52,31119,11182,36767,31465,27148,2
11,13,-52,30994,11219,36767,31497,27148,2
8,-48,22,31056,11231,36690,31529,27256,2
-24,-36,34,30776,11255,36805,31497,27068,2
14,1,-11,30530,11255,36538,31087,26961,2
10,-13,5,30347,11255,36424,31276,26935,2
11,-31,2,30408,11206,36538,31276,27068,2
-21,-35,-32,30256,11231,36462,31025,26882,2
-2,-10,4,30165,11231,36499,31087,26935,2
21,-7,-15,30226,11219,36462,31213,27041,2
21,-1,18,30226,11170,36462,31087,26882,2
4,14,-5,30226,11219,36386,31056,26882,2
-44,-33,5,30165,11206,36348,31025,26776,2
-5,-6,0,30165,11255,36348,31213,26749,2
-17,-19,13,30317,11255,36310,31087,26935,2
22,46,-12,30165,11231,36348,31593,27175,2
36,44,-11,30408,11219,36538,32732,28077,2
-12,-10,18,30499,11255,36462,32765,28301,2
-11,-7,-1,30256,11255,36614,32866,28385,2
18,-3,8,30347,11243,36310,32765,28301,2
15,8,-3,30226,11219,36310,32566,28414,2
10,-15,-10,30045,11280,36386,32467,28245,2
4,4,3,30045,11243,36310,32533,28161,2
19,37,1,30105,11255,36235,32369,28133,2
22,28,-7,30075,11206,36462,32402,27856,2
111,-5,-6,30105,11268,36235,32303,27911,2
149,-106,-43,30105,11206,36235,32205,27911,2
109,-150,-104,30165,11255,36235,32238,27718,2
266,-185,-11,30226,11255,36235,32043,27581,2
134,2,-20,30347,11243,36197,32108,27745,2
23,12,17,30286,11231,36386,32173,27663,2
-28,78,8,30226,11268,36424,31978,27691,2
-95,25,-14,30226,11255,36235,31881,27527,2
-57,185,92,30226,11231,36160,31849,27391,2
-72,19,-47,30165,11255,36310,32010,27499,2
-83,-69,-18,30195,11231,36197,31752,27472,2
-66,-12,-37,30105,11206,36197,31978,27256,2
-13,51,-12,30165,11268,36160,31913,27337,2
45,5,55,30135,11206,36310,31752,27445,2
-19,77,5,30015,11268,36310,31817,27391,2
-34,73,5,30045,11206,36348,31881,27256,2
-9,33,-52,30075,11268,36160,31785,27256,2
-67,42,-38,29925,11255,36085,31624,27283,2
-31,29,48,30015,11255,36047,31561,27256,2
2,16,22,30045,11206,36235,31529,27041,2
19,45,23,29895,11170,36047,31529,27175,2
13,-32,29,30015,11170,36010,31529,27229,2
0,-57,23,29835,11109,36197,31624,27068,2
57,14,-21,29775,11109,36047,31529,26988,2
-19,22,7,29865,11060,36235,31402,26988,2
-28,17,-5,29627,11084,36424,31307,26855,2
-3,-12,6,29657,11036,36197,31339,26855,2
16,-4,22,29657,11036,36160,31276,27015,2
42,10,4,29627,11012,36272,31119,26802,2
-3,-41,18,29746,11036,36348,31056,26776,2
-19,-53,7,29746,11060,36310,31056,26988,2
-15,47,-20,29746,11060,36047,31150,26935,2
-1,11,-13,29597,11060,36160,31025,26802,2
5,4,-3,29657,10987,36010,31087,26855,2
-7,16,-15,29568,11012,35972,30931,26882,2
-13,-5,7,29627,11012,36160,31213,26908,2
-4,5,-3,29627,11012,36047,31025,26882,2
-4,-15,16,29538,11060,36197,30962,26776,2
-9,9,-4,29538,11024,36010,31087,26935,2
13,-36,11,29479,11060,35898,30994,26670,2
-2,22,-23,29657,11012,36010,31213,26829,2
8,-36,-3,29627,11060,36160,30931,26908,2
13,18,-4,29538,11060,36122,30869,26855,2
6,-13,-2,29627,10999,36085,30869,26776,2
-7,28,-14,29568,11036,36047,31087,26882,2
2,-15,6,29450,11072,36047,31087,26855,2
13,-4,-3,29627,11012,36047,30931,26644,2
15,16,-5,29509,11084,36047,31025,26723,2
-11,-13,3,29509,11060,35972,30869,26723,2
